englishWord,koreanWord,vocBookId
Korea,한국,1
City,도시,1
Name,이름,1
I/me (formal),저,1
I/me (informal),나,1
Man,남자,1
Woman,여자,1
This,이,1
That,그,1
That (when something is far away),저,1
Thing,것,1
This (thing),이것,1
That (thing),그것,1
That (thing) (far away),저것,1
Chair,의자,1
Table,탁자,1
Teacher,선생님,1
Bed,침대,1
House,집,1
Car,차,1
Person,사람,1
Book,책,1
Computer,컴퓨터,1
Tree/Wood,나무,1
Sofa,소파,1
China,중국,1
Japan,일본,1
Door,문,1
Doctor,의사,1
Student,학생,1
To be,이다,1
Yes,네,1
No,아니,1
Country,나라,2
Bag/Backpack,가방,2
Window,창문,2
Magazine,잡지,2
Room,방,2
Refrigerator,냉장고,2
Dog,개,2
Puppy,강아지,2
Cat,고양이,2
Rat/Mouse,쥐,2
Pen,펜,2
Phone,전화기,2
Coffee,커피,2
Restaurant,식당,2
Building,건물,2
Television,텔레비전,2
Usa,미국,2
Canada,캐나다,2
Hotel,호텔,2
School,학교,2
Bank,은행,2
Inside,안,2
On top,위,2
Below,밑,2
Beside,옆,2
In front,앞,2
Here,여기,2
To be at a location,있다,2
To have something,있다,2
behind,뒤,2
Food,음식,3
Cake,케이크,3
Airport,공항,3
Hospital,병원,3
Park,공원,3
Korean (language),한국어,3
Head,머리,3
Leg,다리,3
Finger,손가락,3
Ear,귀,3
Arm,팔,3
Eye,눈,3
Mouth/Lips,입,3
Stomach,배,3
Bus,버스,3
Boat,배,3
Us/We,우리,3
To eat,먹다,3
To go,가다,3
To meet,만나다,3
To close,닫다,3
To open,열다,3
To want (an object),원하다,3
To make,만들다,3
To do,하다,3
To speak,말하다,3
To understand,이해하다,3
To like,좋아하다,3
To be big,크다,3
To be small,작다,3
To be new,새롭다,3
To be old (not age),낡다,3
To be expensive,비싸다,3
To be not expensive,싸다,3
To be beautiful,아름답다,3
To be fat/Chubby,뚱뚱하다,3
To be long,길다,3
To be good,좋다,3
Very(1),매우,3
Very(2),아주,3
Too (often used as ‘very’),너무,3
Street,길,4
Street/Road,거리,4
Hand,손,4
English,영어,4
Taxi,택시,4
Train,열차,4
Train/Subway station,역,4
Bus stop,버스 정류장,4
Airplane,비행기,4
Bicycle,자전고,4
Wife,아내,4
Child,아이,4
Son,아들,4
Daughter,딸,4
Husband,남편,4
Father,아버지,4
Mother,어머니,4
Letter,편지,4
Taste,맛,4
Meal,식사,4
Morning,아침,4
Breakfast,아침식사,4
Water,물,4
Apple,사과,4
Money,돈,4
To come,오다,4
To finish,끝내다,4
To dance,춤추다,4
To know,알다,4
To walk,걷다,4
To learn,배우다,4
To practice,연습하다,4
To think,생각하다,4
To live,살다,4
To be finished,끝나다,4
To be dangerous,위험하다,4
To be handsome,잘생기다,4
To be ugly,못생기다,4
To be tired,피곤하다,4
To be different,다르다,4
To be sad,슬프다,4
To be delicious,맛있다,4
To be fun/To be funny,재미있다,4
To be many of,많다,4
To be happy,행복하다,4
There,거기,4
There (when far away),저기,4
Now,지금,4
but,하지만,4
Younger sibling,동생,5
Younger brother,남동생,5
Younger sister,여동생,5
Older brother (of female),오빠,5
Older brother (of male),형,5
Older sister (of male),누나,5
Older sister (of female),언니,5
Uncle,삼촌,5
Aunt (mother side),이모,5
Aunt (father side),고모,5
Older man not related to you,아저씨,5
Older woman not related to you,아주머니,5
Grandfather,할아버지,5
Grandmother,할머니,5
Friend,친구,5
Picture,사진,5
Glasses,안경,5
Secret,비밀,5
Rain,비,5
Store/Shop,가게,5
Museum,박물관,5
Stove (gas range),가스 레인지,5
Duck (animal),오리,5
Tail,꼬리,5
Ball,공,5
To expect,기대하다,5
To cross (a road),건너다,5
To throw,던지다,5
To not like,싫어하다,5
To leave somewhere,떠나다,5
To joke,농담하다,5
To study,공부하다,5
To be boring,지루하다,5
For a person to be too thin,마르다,5
To be far away,멀다,5
To be dry,마르다,5
To be similar,비슷하다,5
To not be good,싫다,5
For an object to be old,오래되다,5
To be hungry,배고프다,5
Today,오늘,5
Yesterday,어제,5
Tomorrow,내일,5
The day after tomorrow,모레,5
Year,년,5
Day,일,5
Time,시간,5
Monday,월요일,5
Tuesday,화요일,5
Wednesday,수요일,5
Thursday,목요일,5
Friday,금요일,5
Saturday,토요일,5
Sunday,일요일,5
Shoe,신발,6
Shirt(1),남방,6
Shirt(2),셔츠,6
Question,질문,6
Question/Problem,문제,6
Age,나이,6
Bathroom/Restroom,화장실,6
Boss,부장님,6
The atmosphere of something,분위기,6
Tea,차,6
Pants,바지,6
Classroom,교실,6
Food at school,급식,6
Vice principal,교감선생님,6
Principal,교장선생님,6
Glue,풀,6
Capital city,수도,6
Bottle,병,6
Disease/Sickness,병,6
Fish,생선,6
Vegetable,야채,6
Hill,언덕,6
Present,선물,6
Guitar,기타,6
Paper,종이,6
Milk,우유,6
Wrist,손목,6
Clock/Watch,시계,6
Wristwatch,손목시계,6
Movie,영화,6
To try,노력하다,6
To sit,앉다,6
To touch,만지다,6
To sleep,자다,6
To see,보다,6
To wait,기다리다,6
To clean,청소하다,6
To promise,약속하다,6
To hear,듣다,6
To listen,들어보다,6
To stop,그만하다,6
To exercise,운동하다,6
To be surprised,놀라다,6
To be fast,빠르다,6
To be slow,느리다,6
To be nice,착하다,6
Soon,곧,6
Always,항상,6
Week,주,6
bottom,아래,6
Eyebrow,눈썹,7
Teacher,교사,7
Class of students in school,반,7
Location of work,직장,7
Wall,벽,7
Hair (not on head)/Fur,털,7
Hair,머리카락,7
Dinner/Evening,저녁,7
Lunch/Noonish,점심,7
Clothes,옷,7
Morning,오전,7
Afternoon,오후,7
Summer,여름,7
Fall,가을,7
Winter,겨울,7
Spring,봄,7
To search for/Find,찾다,7
To teach,가르치다,7
To work,일하다,7
To build,짓다,7
To own/To posses,가지다,7
To lock,잠그다,7
To forget,잊다,7
To help,돕다,7
To give,주다,7
To be correct,맞다,7
To be easy,쉽다,7
To be hot,덥다,7
To miss (a thing),그립다,7
To be cute,귀엽다,7
To be cold,춥다,7
To be difficult,어렵다,7
To be dirty,더럽다,7
To be busy,바쁘다,7
To be the same,같다,7
To be safe,안전하다,7
To be hard/To be rigid,딱딱하다,7
To be soft,부드럽다,7
To be possible,가능하다,7
To be impossible,불가능하다,7
To be pretty,예쁘다,7
Early,일찍,7
everyday,매일,7
Maschine,기계,8
College/University,대학교,8
Truck,트럭,8
(the color) black,검은색,8
(the color) white,흰색,8
Beverage/Drink,음료수,8
Foreign country,외국,8
Foreigner,외국인,8
High school,고등학교,8
Library,도서관,8
Place,곳,8
Same time,동시,8
Night,밤,8
Last night,어젯밤,8
Daytime,낮,8
East,동,8
South,남,8
West,서,8
North,북,8
To play,놀다,8
To use,쓰다,8
To write,쓰다,8
To make a mistake,실수하다,8
To repair,수리하다,8
To catch/To grab/To grasp,잡다,8
To read,읽다,8
To pay for,내다,8
To get/To receive/To acquire,받다,8
To arrive,도착하다,8
To travel,여행하다,8
To be perfect,완벽하다,8
To be sick/To be sore,아프다,8
To be smart,똑똑하다,8
To be important,중요하다,8
To be young,젊다,8
To be old,늙다,8
To be bad,나쁘다,8
Immediately(1),바로,8
Immediately(2),즉시,8
Quickly/Fast,빨리,8
Often,자주,8
Sometimes,가끔,8
Many/A lot of,많이,8
A moment ago,방금,8
Suddenly,갑자기,8
Every year,매년,8
Again,다시,8
Alone,혼자,8
not,안,8
